Product_Description,Product_Type,Sentiment
"web designerûªs guide io (and android) apps, today a.m! {link} #sxsw",9,2
line ipad longer today yesterday. #sxsw // getting line today fun?,9,2
crazy apple opening temporary store austin tomorrow handle rabid #sxsw eye pad seekers.,9,2
"lesson google one pass: digital environment, user want purchase across every platform one tool. #sxsw #elonsxsw",9,2
"panel: &quot;your mom ipad, designing boomers&quot; #sxsw",9,2
think effing hubby line #ipad 2. someone point towards line-up wife number #2. #sxswi #sxsw,6,1
"&quot;android user iphone users. (they use option menu, contextual menu)&quot; ~@mention #sxsw",9,2
wow! rt@mention interrupt regularly scheduled #sxsw geek programming big news {link} #google #circles,9,3
"google launch new social network called circles, possibly today {link} {link} #sxsw #in",9,2
welcome! enjoy #sxsw ride anywhere austin $10 . dwnld #groundlink app{link} booth,9,2
"apple plan keep austin wired, opening pop-up apple store #sxsw {link}",9,2
yeay! new #ubersocial #iphone app store includes uberguide #sxsw sponsored #masha {link},7,3
know #sxsw season app update whenever open iphone app store,9,2
"arriving u #sxsw, looking microsim data iphone // recommendation",9,2
ûï@mention rumor: apple opening temporary store downtown austin #sxsw ipad launch {link},9,2
horrible repressed memory apple spinning beach ball coming back #progressbar talk. #sxsw,2,1
saw man drop iphone gutter last year. #sxsw,9,2
#social important #google screw big launch circus {link} via #sxsw,9,2
"second day business, apple pop-up store appears trending. #sxsw #vb (@mention apple store, sxsw) [pic]: {link}",2,3
brace audio onslaught #sxsw enjoy free music sampler itunes: {link} #featuredartists,9,2
"#sxsw #enchantment: &quot;sell dream. steve job say: iphone $188 parts+at&amp;t, made ppl suicidal chinese",8,1
thanks heathcare digital publishing news new medical apps showcased #sxsw {link} #sxswh,9,2
"tomorrow, charles chen speaking android chromeos access google booth exhibit hall 1pm #sxsw",9,2
"ipad hand, awesome dude gave cutsies hour line. #austin #apple #sxsw #winning",6,3
"adaptive retail -- apple open pop-up shop #sxsw. skillfully done, cupertino: {link}",2,3
really liking #sxsw iphone app... thanks making event app. appears work well!!!,7,3
"tweet register exclusive pass events, party + ipad #sxsw - &quot;give mû_ (cont) {link}",9,2
rt: traveling #sxsw ipad 3/10/2011,9,2
win free ipad webdoc.com #sxsw (awesome tech right here),6,3
"ouch! google v bing? respect, bing guy invited fill third chair?#sxsw",3,3
best thing i've heard wknd #sxsw &quot;i gave ipad money #japan relief. need ipad 2.&quot;,9,2
"austin getting full, #sxsw underway. tell iphone intermittent brick. #crowded",8,1
"#sxsw tweets, android user attendong sxsw? please report scene bannka app. {link}",9,2
barton hollow free song download &amp; featured album featured mix! {link} #itunes #sxsw,9,2
#sxsw recommendation engine session fantastic! thanks #google #pandora #youtube #stumbledupon.,3,3
couple evo vs. iphone video! #sxsw {link},9,2
#sxsw party (@mention lustre pearl bar team android sxsw w/ {link},9,2
need late night snack? discovered filling option sxswi recap day 3! {link} #sxsw #yum,9,2
"apple plan keep austin wired, opening pop-up apple store #sxsw {link}",9,2
#sxsw ipad talk along line ipad talk 360idev? basically different content?,9,2
n33: love town {link} [codes valid: 12:00-3:59:59p 03/14/11] #infektd #sxsw #necro,9,2
smoked way much yesterday! hahaha #austin #wakenbake painting android party tonight #sxsw #androidsxsw {link},9,2
n7: - time always u {link} [codes valid: 4:00-7:59:59p 03/11/11] #infektd #sxsw #necro,9,2
like seeing applying technology art project. #sxsw,9,2
"claim android phone everywhere last year's #sxsw. dude, io android ratio like 15-to-1. iphone everywhere",8,3
hitlantis ipad. cool song explorer app. hitlantis.com. #sxsw #musicviz,7,3
"rt: woman plane next nook, blackberry curve, android ipad purse. #sxsw!",9,2
true tablet/phone/laptop evidence #sxsw might well call country united state apple. #sxswsa,9,2
{link} guy kawasaki talk 'enchanted' sxsw - know stuff! #books #internet #apple #sxsw,9,2
#sxsw need best android dev here. html5/js issue need solving quickly. handsome reward love grabs.,0,3
saw preview new ipad app. awesome. #sxsw,7,3
"diller: would product ipad one form factor today's multichannel, multi platform world? #sxsw #ketchsx",9,2
